Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3
	1000	Adult Content	Adult Content		
1001		Alcohol	Alcohol		
1002	1001	Bars	Alcohol	Bars	
1003	1001	Beer	Alcohol	Beer	
1004	1001	Hard Sodas, Seltzers, Alco Pops	Alcohol	Hard Sodas, Seltzers, Alco Pops	
1005	1001	Spirits	Alcohol	Spirits	
1006	1001	Wine	Alcohol	Wine	
1007		Culture and Fine Arts	Culture and Fine Arts		
1008	1007	Museums and Galleries	Culture and Fine Arts	Museums and Galleries	
1009		Business and Industrial	Business and Industrial		
1010	1009	Advertising and Marketing	Business and Industrial	Advertising and Marketing	
1011	1009	Business Services	Business and Industrial	Business Services	
1012	1011	Consulting	Business and Industrial	Business Services	Consulting
1013	1011	Employee Expense and Time Tracking Services	Business and Industrial	Business Services	Employee Expense and Time Tracking Services
1014	1011	Human Resources and Recruiting	Business and Industrial	Business Services	Human Resources and Recruiting
1015	1011	Information Technology Services	Business and Industrial	Business Services	Information Technology Services
1016	1011	Laundry and Dry Cleaning Services	Business and Industrial	Business Services	Laundry and Dry Cleaning Services
1017	1011	Logistics and Delivery	Business and Industrial	Business Services	Logistics and Delivery
1018	1011	Office Equipment and Supplies	Business and Industrial	Business Services	Office Equipment and Supplies
1019	1011	Photographers	Business and Industrial	Business Services	Photographers
1020	1011	Printing/Fax/WiFi Services	Business and Industrial	Business Services	Printing/Fax/WiFi Services
1021	1011	Public Relations and Strategic Communication	Business and Industrial	Business Services	Public Relations and Strategic Communication
1022	1011	Security & Protection	Business and Industrial	Business Services	Security & Protection
1023	1011	Storage Facilities	Business and Industrial	Business Services	Storage Facilities
1024	1011	Telecom Services	Business and Industrial	Business Services	Telecom Services
1025	1011	Web Hosting and Cloud Computing	Business and Industrial	Business Services	Web Hosting and Cloud Computing
1026	1009	Construction	Business and Industrial	Construction	
1027	1009	Energy Industry	Business and Industrial	Energy Industry	
1028	1027	Electric Power Industry	Business and Industrial	Energy Industry	Electric Power Industry
1029	1027	Energy Services	Business and Industrial	Energy Industry	Energy Services
1030	1027	Green Energy	Business and Industrial	Energy Industry	Green Energy
1031	1027	Oil, Gas and Consumable Fuels	Business and Industrial	Energy Industry	Oil, Gas and Consumable Fuels
1032	1009	Forestry and Logging	Business and Industrial	Forestry and Logging	
1033	1009	Industrial Storage	Business and Industrial	Industrial Storage	
1034	1009	Industrials	Business and Industrial	Industrials	
1035	1034	Aerospace and Defense	Business and Industrial	Industrials	Aerospace and Defense
1036	1034	Construction and Engineering	Business and Industrial	Industrials	Construction and Engineering
1037	1034	Industrial Conglomerates	Business and Industrial	Industrials	Industrial Conglomerates
1038	1034	Trading Companies and Distributors	Business and Industrial	Industrials	Trading Companies and Distributors
1039	1034	Transportation	Business and Industrial	Industrials	Transportation
1040	1009	Manufacturing	Business and Industrial	Manufacturing	
1041	1009	Medical and Biotechnology	Business and Industrial	Medical and Biotechnology	
1042	1009	Mining and Quarrying	Business and Industrial	Mining and Quarrying	
1043	1009	Science and Laboratory	Business and Industrial	Science and Laboratory	
1044	1009	Signage	Business and Industrial	Signage	
1045	1009	Small Business	Business and Industrial	Small Business	
1046	1009	Waste Disposal and Recycling	Business and Industrial	Waste Disposal and Recycling	
1047		Cannabis	Cannabis		
1048	1047	Cannabis Consumables	Cannabis	Cannabis Consumables	
1049	1048	Cannabis Drinks	Cannabis	Cannabis Consumables	Cannabis Drinks
1050	1048	Cannabis Edibles	Cannabis	Cannabis Consumables	Cannabis Edibles
1051	1047	Cannabis Equipment	Cannabis	Cannabis Equipment	
1052	1047	Cannabis Stores	Cannabis	Cannabis Stores	
1053	1047	Cannabis Stocks	Cannabis	Cannabis Stocks	
1054	1047	CBD Consumables	Cannabis	CBD Consumables	
1055	1047	CBD Topicals	Cannabis	CBD Topicals	
1056		Clothing and Accessories	Clothing and Accessories		
1057	1056	Clothing	Clothing and Accessories	Clothing	
1058	1057	Children's Clothing	Clothing and Accessories	Clothing	Children's Clothing
1059	1057	Maternity Clothing	Clothing and Accessories	Clothing	Maternity Clothing
1060	1057	Men's Clothing	Clothing and Accessories	Clothing	Men's Clothing
1061	1057	Sportswear	Clothing and Accessories	Clothing	Sportswear
1062	1057	Underwear and Lingerie	Clothing and Accessories	Clothing	Underwear and Lingerie
1063	1057	Wedding Dresses/Bridal Wear/Tuxedos	Clothing and Accessories	Clothing	Wedding Dresses/Bridal Wear/Tuxedos
1064	1057	Women's Clothing	Clothing and Accessories	Clothing	Women's Clothing
1065	1056	Clothing Accessories	Clothing and Accessories	Clothing Accessories	
1066	1056	Costumes and Accessories	Clothing and Accessories	Costumes and Accessories	
